gene.name	A549_0_1	A549_0_2	A549_0_3	A549_25_1	A549_25_2	A549_25_3	
ENSG00000178715.8	142	64	44	131	54	44	
ENSG00000179743.4	186	186	185	234	161	125	
ENSG00000065526.10	3579	4553	5327	4481	3899	4603	
ENSG00000270620.1	0	0	0	0	0	0	
ENSG00000116809.11	1168	1197	967	1080	1056	969	
ENSG00000234607.2	0	0	0	0	0	0	
ENSG00000231353.1	0	0	0	0	0	0	
ENSG00000275503.1	0	0	0	0	0	0	
ENSG00000224966.4	0	0	0	0	0	0	
ENSG00000183888.4	4	2	1	0	3	2	
ENSG00000233078.1	0	0	0	0	0	0	
ENSG00000173641.17	0	1	1	0	1	0	
ENSG00000186510.11	5	5	6	3	3	1	
ENSG00000232456.1	12	18	13	14	11	10	
ENSG00000184908.17	9	9	9	7	7	8	
ENSG00000185519.8	239	281	229	225	255	207	
ENSG00000142627.12	13385	14702	12778	10150	11551	12764	
ENSG00000227959.1	15	7	5	17	13	16	
ENSG00000224621.1	10	5	6	3	3	7	
ENSG00000234166.1	0	0	0	1	0	0	
ENSG00000142632.16	569	590	498	569	511	489	
ENSG00000237276.8	58	48	41	49	30	39	
ENSG00000132881.11	123	188	148	162	174	170	
ENSG00000233929.1	6	4	3	4	3	2	
ENSG00000037637.10	1150	1236	1071	1194	1208	987	
ENSG00000055070.16	10375	11613	10466	11440	10922	10360	
ENSG00000226457.1	67	14	12	57	13	13	
ENSG00000187144.11	16	20	23	35	21	24	
ENSG00000157191.19	1854	2134	1931	2101	2105	1878	
ENSG00000226029.1	6	5	11	12	9	11	
ENSG00000080947.14	159	204	171	184	176	145	
